gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,period,teamname,teamattackingdirection,possessioneventtype,passerplayerid,receiverplayerid,passtype,passoutcometype,pressuretype
3813,6495911,6372156,1994.260,1996.730,2.470,1996.730,54,1,England,R,PA,4677,265,5,1,3
3813,6495884,6372122,1997.698,1998.365,0.667,1998.365,54,1,England,R,PA,265,105,5,1,0
3813,6495892,6372177,1999.433,2011.812,12.379,2011.812,54,1,England,R,PA,105,1377,4,1,3
3813,6495910,6372183,2014.214,2014.214,0.000,2014.214,54,1,England,R,PA,1377,1,0,1,0
3813,6495929,6372171,2015.415,2015.415,0.000,2015.415,54,1,England,R,PA,1,,2,2,3
3813,6495944,6372188,2019.486,2021.154,1.668,2021.154,54,1,England,R,PA,4677,1377,5,1,3
3813,6495947,6372189,2022.523,2023.524,1.001,2023.524,54,1,England,R,PA,1377,25,5,1,3
3813,6495988,6372230,2093.493,2093.493,0.000,2093.493,56,1,England,R,PA,163,,5,2,3
3813,6496027,6372269,2104.471,2105.372,0.901,2105.372,58,1,England,R,PA,4677,163,5,1,3
3813,6496035,6372279,2105.906,2107.407,1.501,2107.407,58,1,England,R,PA,163,,5,5,3
3813,6496093,6372339,2161.695,2161.695,0.000,2161.695,60,1,England,R,PA,10,25,1,1,3
3813,6496107,6372354,2166.266,2166.266,0.000,2166.266,60,1,England,R,PA,4677,123,5,1,3
3813,6496116,6372362,2168.202,2177.611,9.409,2177.611,60,1,England,R,PA,123,25,5,1,3
3813,6496121,6372365,2178.011,2178.979,0.968,2178.979,60,1,England,R,PA,25,105,5,1,2
3813,6496123,6372367,2179.713,2180.814,1.101,2180.814,60,1,England,R,PA,105,265,5,1,3
3813,6496126,6372370,2181.882,2183.083,1.201,2183.083,60,1,England,R,PA,265,1377,5,1,2
3813,6496131,6372375,2184.818,2188.188,3.370,2188.188,60,1,England,R,PA,1377,,5,2,3
3813,6496157,6372400,2195.562,2200.501,4.939,2200.501,62,1,England,R,PA,4677,1377,5,1,3
3813,6496178,6372425,2201.368,2202.002,0.634,2202.002,62,1,England,R,PA,1377,10,5,1,3
3813,6496183,6372430,2203.737,2203.737,0.000,2203.737,62,1,England,R,PA,10,118,5,1,2
3813,6496187,6372434,2205.639,2208.108,2.469,2208.108,62,1,England,R,PA,118,123,5,1,1
3813,6496194,6372439,2209.376,2213.647,4.271,2213.647,62,1,England,R,PA,123,118,5,1,1
3813,6496198,6372443,2215.249,2217.451,2.202,2217.451,62,1,England,R,PA,118,10,5,1,2
3813,6496204,6372448,2218.752,2221.655,2.903,2221.655,62,1,England,R,PA,10,118,5,1,3
3813,6496207,6372451,2223.090,2224.157,1.067,2224.157,62,1,England,R,PA,118,105,5,1,3
3813,6496210,6372454,2225.192,2225.325,0.133,2225.325,62,1,England,R,PA,105,25,5,1,2
3813,6496214,6372458,2225.959,2227.294,1.335,2227.294,62,1,England,R,PA,25,123,5,1,3
3813,6496268,6372514,2314.681,2314.681,0.000,2314.681,64,1,England,R,PA,123,25,5,1,2
3813,6496289,6372541,2320.420,2323.624,3.204,2323.624,66,1,England,R,PA,123,,6,2,0
3813,6496313,6372564,2330.330,2332.766,2.436,2332.766,68,1,England,R,PA,1,,5,5,2
3813,6496355,6372605,2369.870,2369.870,0.000,2369.870,70,1,England,R,PA,118,,1,2,3
3813,6496376,6372626,2373.674,2373.674,0.000,2373.674,72,1,England,R,PA,118,,1,2,3
3813,6496400,6372652,2400.734,2400.734,0.000,2400.734,74,1,England,R,PA,123,10,5,1,2
3813,6496412,6372669,2406.473,2406.473,0.000,2406.473,74,1,England,R,PA,10,169,5,1,3
3813,6496419,6372677,2409.042,2410.377,1.335,2410.377,74,1,England,R,PA,169,1377,5,1,2
3813,6496424,6372682,2411.612,2413.247,1.635,2413.247,74,1,England,R,PA,1377,,1,2,0
3813,6496446,6372704,2417.050,2418.719,1.669,2418.719,76,1,England,R,PA,4677,1377,5,1,3
3813,6496456,6372712,2421.088,2422.923,1.835,2422.923,76,1,England,R,PA,1377,10,5,1,3
3813,6496461,6372717,2424.791,2426.527,1.736,2426.527,76,1,England,R,PA,10,1,1,1,3
3813,6496468,6372723,2428.762,2428.762,0.000,2428.762,76,1,England,R,PA,1,,2,0,3
3813,6496477,6372731,2450.117,2450.117,0.000,2450.117,77,1,England,R,PA,118,10,5,1,2
3813,6496481,6372734,2450.951,2455.255,4.304,2455.255,77,1,England,R,PA,10,265,5,1,2
3813,6496484,6372736,2456.356,2457.257,0.901,2457.257,77,1,England,R,PA,265,25,5,1,2
3813,6496490,6372743,2458.425,2459.493,1.068,2459.493,77,1,England,R,PA,25,123,5,1,3
3813,6496492,6372747,2460.861,2461.528,0.667,2461.528,77,1,England,R,PA,123,25,5,1,0
3813,6496494,6372749,2462.229,2464.665,2.436,2464.665,77,1,England,R,PA,25,265,5,1,2
3813,6496498,6372754,2465.699,2467.067,1.368,2467.067,77,1,England,R,PA,265,1377,5,1,2
3813,6496501,6372758,2469.369,2471.038,1.669,2471.038,77,1,England,R,PA,1377,4677,5,1,2
3813,6496504,6372762,2471.805,2475.676,3.871,2475.676,77,1,England,R,PA,4677,25,5,1,3
3813,6496510,6372766,2476.043,2476.043,0.000,2476.043,77,1,England,R,PA,25,4677,6,1,3
3813,6496549,6372813,2518.552,2518.552,0.000,2518.552,79,1,England,R,PA,118,265,2,1,3
3813,6496552,6372816,2520.754,2521.755,1.001,2521.755,79,1,England,R,PA,265,169,5,1,3
3813,6496554,6372818,2524.858,2524.858,0.000,2524.858,79,1,England,R,PA,169,1377,1,1,2
3813,6496586,6373010,2550.050,2550.050,0.000,2550.050,81,1,England,R,PA,265,118,5,1,2
3813,6496594,6372862,2550.918,2553.687,2.769,2553.687,81,1,England,R,PA,118,4677,5,1,3
3813,6496597,6372866,2554.488,2555.222,0.734,2555.222,81,1,England,R,PA,4677,123,5,1,3
3813,6496600,6372869,2556.490,2558.258,1.768,2558.258,81,1,England,R,PA,123,,1,2,3
3813,6496614,6372887,2564.298,2567.201,2.903,2567.201,83,1,England,R,PA,105,1377,5,1,2
3813,6496625,6372897,2570.304,2572.272,1.968,2572.272,83,1,England,R,PA,1377,,5,2,2
3813,6496692,6372968,2609.710,2609.710,0.000,2609.710,86,1,England,R,PA,10,163,1,1,3
3813,6496699,6372978,2611.445,2614.781,3.336,2614.781,86,1,England,R,PA,163,10,5,1,3
3813,6496703,6372980,2616.250,2618.519,2.269,2618.519,86,1,England,R,PA,10,118,5,1,2
3813,6496710,6372987,2621.154,2627.194,6.040,2627.194,86,1,England,R,PA,118,10,5,1,2
3813,6496713,6372990,2628.161,2628.161,0.000,2628.161,86,1,England,R,PA,10,118,5,1,2
3813,6496716,6372994,2630.931,2630.931,0.000,2630.931,86,1,England,R,PA,118,123,5,1,3
3813,6496722,6373000,2632.165,2633.066,0.901,2633.066,86,1,England,R,PA,123,118,5,1,3
3813,6496726,6373004,2634.134,2636.436,2.302,2636.436,86,1,England,R,PA,118,169,5,1,3
3813,6496730,6373008,2638.939,2639.940,1.001,2639.940,86,1,England,R,PA,169,4677,5,1,2
3813,6496735,6373013,2640.874,2640.874,0.000,2640.874,86,1,England,R,PA,4677,118,5,1,3
3813,6496737,6373015,2642.843,2643.777,0.934,2643.777,86,1,England,R,PA,118,123,5,1,3
3813,6496748,6373026,2645.312,2649.850,4.538,2649.850,86,1,England,R,PA,123,1,5,1,2
3813,6496753,6373030,2650.150,2655.055,4.905,2655.055,86,1,England,R,PA,1,105,5,1,3
3813,6496759,6373033,2655.789,2657.191,1.402,2657.191,86,1,England,R,PA,105,123,5,1,3
3813,6496762,6373036,2658.025,2659.626,1.601,2659.626,86,1,England,R,PA,123,265,5,1,2
3813,6496766,6373039,2661.195,2661.195,0.000,2661.195,86,1,England,R,PA,265,4677,5,1,2
3813,6496769,6373042,2662.129,2663.030,0.901,2663.030,86,1,England,R,PA,4677,10,5,1,2
3813,6496774,6373047,2664.464,2666.967,2.503,2666.967,86,1,England,R,PA,10,1377,5,1,3
3813,6496777,6373050,2667.901,2669.002,1.101,2669.002,86,1,England,R,PA,1377,10,5,1,3
3813,6496780,6373055,2671.305,2676.543,5.238,2676.543,86,1,England,R,PA,10,123,5,1,3
3813,6496787,6373061,2678.312,2680.214,1.902,2680.214,86,1,England,R,PA,123,25,5,1,2
3813,6496794,6373069,2681.048,2682.249,1.201,2682.249,86,1,England,R,PA,25,123,5,1,3
3813,6496796,6373071,2683.350,2683.350,0.000,2683.350,86,1,England,R,PA,123,265,5,1,3
3813,6496806,6373082,2684.051,2685.285,1.234,2685.285,86,1,England,R,PA,265,10,5,1,0
3813,6496813,6373088,2687.221,2688.555,1.334,2688.555,86,1,England,R,PA,10,1377,5,1,2
3813,6496816,6373092,2689.823,2690.791,0.968,2690.791,86,1,England,R,PA,1377,10,5,1,3
3813,6496823,6373100,2692.426,2695.195,2.769,2695.195,86,1,England,R,PA,10,123,5,1,2
3813,6496859,6373139,2702.870,2705.138,2.268,2705.138,88,1,England,R,PA,105,,6,2,2
3813,6496883,6373159,2745.112,2745.112,0.000,2745.112,89,1,England,R,PA,118,163,5,1,3
3813,6496937,6373213,2862.696,2862.696,0.000,2862.696,91,1,England,R,PA,265,105,5,1,3
3813,6496966,6373240,2869.770,2872.206,2.436,2872.206,93,1,England,R,PA,123,10,5,1,3
3813,6496978,6373252,2874.541,2875.709,1.168,2875.709,93,1,England,R,PA,10,1377,5,1,3
3813,6496983,6373257,2876.677,2877.945,1.268,2877.945,93,1,England,R,PA,1377,10,5,1,3
3813,6496032,6372275,2880.581,2881.949,1.368,2881.949,93,1,England,R,PA,10,169,5,1,3
3813,6496034,6372278,2882.883,2882.883,0.000,2882.883,93,1,England,R,PA,169,,1,2,2
3813,6496061,6372305,2889.690,2892.526,2.836,2892.526,95,1,England,R,PA,4677,1,6,1,3
3813,6496105,6372352,2981.982,2981.982,0.000,2981.982,97,1,England,R,PA,4677,123,5,1,3
3813,6496108,6372355,2984.518,2984.518,0.000,2984.518,97,1,England,R,PA,123,,5,0,3
3813,6496113,6372359,2986.019,2986.587,0.568,2986.587,99,1,England,R,PA,105,,5,6,3
3813,6496125,6372369,3014.781,3014.781,0.000,3014.781,101,1,England,R,PA,118,,4,2,2
3813,6496134,6372379,3020.354,3020.888,0.534,3020.888,101,1,England,R,PA,25,,5,0,3
3813,6496143,6372390,3021.388,3023.223,1.835,3023.223,101,1,England,R,PA,25,4677,5,1,3
3813,6496158,6372401,3030.030,3031.398,1.368,3031.398,103,1,England,R,PA,265,10,5,1,2
3813,6496162,6372405,3032.332,3035.669,3.337,3035.669,103,1,England,R,PA,10,265,5,1,2
3813,6496164,6372408,3036.503,3036.503,0.000,3036.503,103,1,England,R,PA,265,10,5,1,2
3813,6496169,6372413,3038.505,3040.340,1.835,3040.340,103,1,England,R,PA,10,123,5,1,2
3813,6496172,6372418,3041.408,3042.509,1.101,3042.509,103,1,England,R,PA,123,1,5,1,2
3813,6496177,6372424,3043.310,3045.312,2.002,3045.312,103,1,England,R,PA,1,265,5,1,1
3813,6496182,6372429,3046.346,3047.247,0.901,3047.247,103,1,England,R,PA,265,4677,5,1,2
3813,6496184,6372431,3048.148,3049.283,1.135,3049.283,103,1,England,R,PA,4677,163,5,1,3
3813,6496189,6372436,3050.050,3053.153,3.103,3053.153,103,1,England,R,PA,163,1377,6,1,3
3813,6496195,6372440,3054.655,3054.721,0.066,3054.721,103,1,England,R,PA,1377,,5,0,2
3813,6496229,6372475,3095.162,3098.765,3.603,3098.765,104,1,England,R,PA,4677,1377,5,1,3
3813,6496233,6372477,3099.233,3100.133,0.900,3100.133,104,1,England,R,PA,1377,25,5,1,2
3813,6496234,6372478,3100.767,3101.335,0.568,3101.335,104,1,England,R,PA,25,1377,5,1,3
