gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,playerid,positiongrouptype,jerseynum,team,x,y,visibility,confidence,possessioneventtype,teamattackingdirection,period,teamname
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13982,CM,21,A,4.788,0.758,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,169,GK,1,H,-36.025,-0.721,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,123,LB,3,H,-5.549,27.363,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,265,CM,4,H,-11.7,-2.869,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,10,RCB,5,H,-16.776,-12.091,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,118,LCB,6,H,-19.715,2.144,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,1,CF,9,H,13.313,-8.028,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,25,LW,10,H,11.276,26.221,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,1377,RB,12,H,5.577,-30.349,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,163,RW,17,H,13.172,-24.250,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,105,AM,19,H,3.918,9.762,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,4677,CM,22,H,-11.62,-20.694,VISIBLE,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13968,GK,1,A,36.248,-1.211,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13976,RWB,2,A,12.669,21.086,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13971,LW,3,A,-1.313,-20.297,VISIBLE,HIGH,PA,R,1,England
